Period_ID,Dowgate,Euston,Holloway,Islington,Kentish.Town,Paddington,Soho,West.Hampstead,Total_Distance
1,0,0,1,0,0,0,1,0,2.343453579734
2,1,0,1,0,0,0,2,0,6.341676438535999
3,1,0,0,0,1,0,0,0,4.633285283514
4,0,1,1,0,2,0,0,1,32.301353881268
5,1,1,0,0,0,1,2,1,10.760844722140998
6,0,0,1,0,0,0,0,0,2.695286682948
7,1,1,0,0,0,0,1,0,4.064906108762999
8,1,1,0,0,1,0,2,0,9.766240096216
9,0,0,1,0,0,1,0,1,21.830682189864
10,0,1,0,0,0,0,1,0,3.4426389228379994
11,0,0,0,2,1,0,2,1,26.35124545454
12,0,0,1,0,1,0,0,0,19.257269801264
13,1,1,0,0,1,0,0,0,14.280085677884996
14,0,0,1,0,1,0,1,0,26.84615784896
15,0,0,0,0,0,0,1,0,0.7430985316730001
16,1,0,1,0,0,0,1,2,34.641050813263995
17,0,0,1,0,0,0,1,0,22.324016291803996
18,0,0,0,0,1,0,0,0,3.6967414573199995
19,1,0,0,0,0,0,1,0,2.6459670578539995
20,0,0,2,0,1,1,2,0,16.931870414373993
21,1,1,0,1,0,0,0,2,24.047535569242
22,1,0,0,1,0,0,0,1,33.58743990706
23,0,0,2,0,0,1,0,0,38.064755412576
24,1,0,0,1,1,1,3,1,18.597295817855997
25,0,0,0,1,1,0,0,1,14.293315407831997
26,0,1,1,0,0,1,0,1,12.363490445487999
27,0,1,1,0,1,0,0,0,26.7328658778995
28,0,0,0,1,0,0,2,0,4.333428341836
29,0,0,0,0,2,0,0,0,17.685237571688
30,0,0,0,0,1,0,0,0,0.411587035627
31,1,0,1,1,0,1,2,0,14.592901022254999
32,0,1,0,0,0,2,1,1,15.665155199455
33,1,1,0,1,0,0,0,0,9.01985150914
34,0,0,0,1,0,0,1,2,29.629964871432996
35,0,0,0,0,0,0,0,1,11.607386809135997
36,0,0,0,1,2,0,0,0,18.702304432824
37,1,0,0,0,1,0,1,1,22.638884308554996
38,0,0,2,0,0,0,0,0,12.419255533111999
39,0,1,0,1,0,0,0,0,7.8297408894419975
40,0,0,0,0,0,0,1,1,3.5845625142
41,0,0,0,0,0,1,0,0,3.8300709745
42,0,1,0,1,0,0,0,0,22.588070725515998
43,0,0,0,0,0,1,0,1,15.219369319134
44,0,0,0,0,1,0,0,1,30.056834674064
45,0,1,0,0,0,0,0,0,0.44214648639299997
46,0,0,0,0,0,0,0,1,2.7282479041359995
47,0,0,1,0,0,0,1,0,15.337608046387997
48,0,0,0,0,1,1,0,1,16.221302647972003
49,0,0,0,0,0,2,0,0,2.369014222034
50,0,1,1,0,0,0,2,1,18.8793180189315
51,0,0,0,0,0,1,0,0,0.3523890552665
52,0,0,1,0,0,0,1,0,12.2378623577575
53,1,0,1,0,1,0,1,0,16.869780130279
54,0,0,0,0,0,1,0,0,1.500466532378
55,0,1,1,0,0,0,0,1,18.514300032464
56,0,0,0,0,0,1,0,1,9.341213209646
